Age,Gender,Height,Weight,Activity Level,Goal,Body Type
51,Female,155,55,Moderately active,Weight Loss,Underweight
23,Male,165,47,Very active,Maintenance,Underweight
36,Female,175,111,Moderately active,Maintenance,Overweight
49,Female,156,96,Sedentary,Weight Loss,Overweight
56,Female,167,45,Moderately active,Weight Loss,Underweight
40,Male,180,86,Moderately active,Maintenance,Overweight
33,Female,175,104,Sedentary,Muscle Gain,Overweight
29,Male,154,81,Very active,Maintenance,Overweight
26,Male,190,63,Very active,Maintenance,Overweight
41,Female,182,68,Very active,Maintenance,Overweight
25,Male,185,82,Very active,Muscle Gain,Overweight
42,Male,184,69,Sedentary,Muscle Gain,Overweight
35,Female,151,98,Moderately active,Weight Loss,Overweight
53,Male,182,112,Sedentary,Muscle Gain,Overweight
37,Male,157,51,Moderately active,Weight Loss,Underweight
50,Female,197,103,Moderately active,Muscle Gain,Overweight
39,Male,195,74,Lightly active,Muscle Gain,Fit
25,Male,176,71,Lightly active,Weight Loss,Fit
50,Female,177,108,Sedentary,Weight Loss,Overweight
36,Female,153,79,Very active,Weight Loss,Overweight
34,Female,193,74,Sedentary,Muscle Gain,Overweight
23,Male,184,81,Very active,Weight Loss,Overweight
48,Male,184,104,Sedentary,Maintenance,Overweight
38,Male,181,77,Very active,Maintenance,Overweight
35,Female,174,98,Lightly active,Maintenance,Overweight
41,Female,199,76,Moderately active,Muscle Gain,Fit
19,Male,176,46,Lightly active,Weight Loss,Overweight
50,Female,158,87,Lightly active,Maintenance,Overweight
59,Male,175,94,Sedentary,Weight Loss,Overweight
24,Female,185,89,Very active,Weight Loss,Overweight
33,Female,163,59,Very active,Muscle Gain,Underweight
49,Female,172,107,Lightly active,Maintenance,Overweight
39,Male,171,93,Very active,Muscle Gain,Overweight
32,Female,192,104,Sedentary,Weight Loss,Overweight
22,Female,188,112,Lightly active,Weight Loss,Overweight
47,Female,196,99,Very active,Weight Loss,Overweight
59,Female,179,63,Sedentary,Maintenance,Overweight
45,Male,175,106,Moderately active,Maintenance,Overweight
29,Male,150,102,Lightly active,Weight Loss,Overweight
51,Male,181,92,Sedentary,Weight Loss,Overweight
18,Male,165,105,Moderately active,Maintenance,Overweight
39,Male,178,111,Very active,Muscle Gain,Overweight
54,Female,171,101,Sedentary,Muscle Gain,Overweight
22,Female,196,106,Very active,Weight Loss,Overweight
33,Female,175,92,Sedentary,Maintenance,Overweight
50,Female,179,67,Lightly active,Muscle Gain,Fit
22,Female,185,78,Very active,Maintenance,Overweight
36,Female,181,45,Very active,Weight Loss,Underweight
21,Male,165,68,Very active,Maintenance,Overweight
45,Female,181,68,Very active,Muscle Gain,Overweight
50,Male,182,105,Moderately active,Maintenance,Overweight
29,Male,152,109,Sedentary,Muscle Gain,Overweight
46,Male,162,56,Moderately active,Muscle Gain,Underweight
52,Female,172,52,Sedentary,Muscle Gain,Overweight
43,Female,183,51,Very active,Muscle Gain,Underweight
28,Male,178,80,Sedentary,Weight Loss,Overweight
53,Male,159,117,Very active,Maintenance,Overweight
52,Male,197,80,Lightly active,Weight Loss,Fit
49,Male,173,67,Lightly active,Weight Loss,Fit
30,Female,172,74,Sedentary,Weight Loss,Overweight
37,Female,197,57,Moderately active,Maintenance,Underweight
53,Male,161,105,Sedentary,Maintenance,Overweight
26,Female,156,72,Lightly active,Maintenance,Fit
36,Female,196,60,Sedentary,Weight Loss,Overweight
29,Male,174,96,Moderately active,Weight Loss,Overweight
40,Female,165,101,Moderately active,Weight Loss,Overweight
59,Male,188,58,Moderately active,Muscle Gain,Underweight
52,Male,172,119,Lightly active,Maintenance,Overweight
26,Female,159,102,Very active,Weight Loss,Overweight
55,Male,156,90,Sedentary,Muscle Gain,Overweight
44,Male,151,49,Sedentary,Weight Loss,Overweight
36,Female,157,109,Lightly active,Weight Loss,Overweight
24,Male,174,89,Very active,Muscle Gain,Overweight
48,Female,168,105,Very active,Muscle Gain,Overweight
44,Male,159,63,Moderately active,Muscle Gain,Fit
30,Male,199,102,Very active,Weight Loss,Overweight
58,Male,188,45,Moderately active,Weight Loss,Underweight
42,Female,182,82,Sedentary,Muscle Gain,Overweight
49,Female,194,105,Moderately active,Weight Loss,Overweight
38,Female,160,80,Moderately active,Maintenance,Fit
35,Female,196,93,Lightly active,Maintenance,Overweight
18,Male,152,60,Moderately active,Weight Loss,Fit
29,Male,159,60,Very active,Muscle Gain,Overweight
41,Female,177,52,Lightly active,Muscle Gain,Overweight
45,Female,177,85,Very active,Maintenance,Overweight
34,Female,158,77,Sedentary,Weight Loss,Overweight
46,Female,162,90,Moderately active,Weight Loss,Overweight
35,Female,154,91,Sedentary,Muscle Gain,Overweight
47,Female,199,49,Moderately active,Weight Loss,Underweight
18,Female,167,93,Moderately active,Weight Loss,Overweight
42,Female,171,103,Moderately active,Weight Loss,Overweight
50,Male,183,45,Sedentary,Maintenance,Overweight
45,Female,166,113,Moderately active,Weight Loss,Overweight
20,Female,172,97,Sedentary,Muscle Gain,Overweight
36,Female,166,117,Lightly active,Weight Loss,Overweight
30,Male,153,106,Sedentary,Weight Loss,Overweight
49,Female,183,116,Moderately active,Muscle Gain,Overweight
51,Female,152,94,Very active,Weight Loss,Overweight
22,Female,179,101,Sedentary,Maintenance,Overweight
40,Male,164,58,Lightly active,Maintenance,Overweight
56,Male,187,108,Very active,Muscle Gain,Overweight
51,Female,167,74,Moderately active,Maintenance,Fit
51,Male,187,74,Moderately active,Muscle Gain,Fit
34,Male,154,73,Very active,Muscle Gain,Overweight
34,Female,159,61,Very active,Weight Loss,Overweight
23,Female,151,87,Very active,Maintenance,Overweight
40,Male,165,119,Lightly active,Weight Loss,Overweight
49,Male,152,71,Sedentary,Muscle Gain,Overweight
36,Male,170,49,Lightly active,Muscle Gain,Overweight
39,Male,170,114,Sedentary,Weight Loss,Overweight
29,Male,175,90,Lightly active,Weight Loss,Overweight
43,Female,194,71,Sedentary,Muscle Gain,Overweight
39,Male,196,100,Lightly active,Maintenance,Overweight
34,Male,175,80,Sedentary,Weight Loss,Overweight
32,Male,196,100,Lightly active,Muscle Gain,Overweight
45,Female,172,46,Sedentary,Muscle Gain,Overweight
24,Female,152,67,Lightly active,Maintenance,Fit
35,Male,187,59,Very active,Weight Loss,Underweight
54,Male,177,118,Moderately active,Weight Loss,Overweight
56,Male,171,88,Sedentary,Weight Loss,Overweight
37,Male,174,112,Lightly active,Maintenance,Overweight
35,Male,196,78,Moderately active,Weight Loss,Fit
36,Female,191,85,Sedentary,Muscle Gain,Overweight
43,Female,183,103,Very active,Maintenance,Overweight
23,Male,186,77,Sedentary,Muscle Gain,Overweight
23,Male,155,48,Lightly active,Maintenance,Overweight
47,Female,180,68,Moderately active,Weight Loss,Fit
20,Male,180,84,Sedentary,Maintenance,Overweight
19,Female,169,119,Very active,Maintenance,Overweight
47,Female,187,95,Lightly active,Weight Loss,Overweight
32,Female,160,52,Lightly active,Maintenance,Overweight
22,Male,155,70,Lightly active,Maintenance,Fit
50,Female,169,56,Moderately active,Weight Loss,Underweight
31,Female,187,81,Lightly active,Maintenance,Overweight
53,Male,162,47,Sedentary,Muscle Gain,Overweight
27,Female,154,67,Lightly active,Muscle Gain,Fit
57,Male,151,109,Moderately active,Weight Loss,Overweight
34,Male,158,119,Moderately active,Muscle Gain,Overweight
52,Male,179,93,Sedentary,Muscle Gain,Overweight
31,Female,160,53,Lightly active,Maintenance,Overweight
18,Male,189,108,Lightly active,Weight Loss,Overweight
28,Female,190,58,Very active,Muscle Gain,Underweight
38,Male,186,49,Moderately active,Maintenance,Underweight
43,Female,153,86,Sedentary,Muscle Gain,Overweight
25,Female,188,58,Very active,Maintenance,Underweight
55,Male,182,67,Moderately active,Maintenance,Fit
42,Male,166,110,Lightly active,Weight Loss,Overweight
57,Female,188,95,Lightly active,Muscle Gain,Overweight
24,Male,157,86,Very active,Maintenance,Overweight
46,Male,182,71,Very active,Weight Loss,Overweight
50,Female,186,71,Moderately active,Weight Loss,Fit
21,Female,171,110,Lightly active,Weight Loss,Overweight
27,Male,182,82,Sedentary,Maintenance,Overweight
53,Male,194,96,Very active,Maintenance,Overweight
25,Male,154,73,Moderately active,Weight Loss,Fit
44,Female,180,80,Very active,Muscle Gain,Overweight
44,Male,154,64,Moderately active,Muscle Gain,Fit
57,Female,187,50,Very active,Maintenance,Underweight
43,Male,195,56,Lightly active,Weight Loss,Overweight
35,Female,174,104,Moderately active,Weight Loss,Overweight
54,Female,157,75,Lightly active,Weight Loss,Fit
46,Female,163,84,Sedentary,Muscle Gain,Overweight
40,Male,150,90,Sedentary,Weight Loss,Overweight
53,Female,172,101,Sedentary,Maintenance,Overweight
57,Female,164,65,Moderately active,Weight Loss,Fit
26,Male,159,96,Sedentary,Weight Loss,Overweight
58,Female,184,107,Very active,Weight Loss,Overweight
28,Female,187,46,Moderately active,Muscle Gain,Underweight
51,Male,176,61,Very active,Maintenance,Overweight
41,Male,174,115,Very active,Muscle Gain,Overweight
41,Male,182,93,Sedentary,Maintenance,Overweight
39,Male,175,72,Lightly active,Weight Loss,Fit
24,Male,166,93,Very active,Muscle Gain,Overweight
45,Female,189,93,Moderately active,Weight Loss,Overweight
30,Female,179,95,Moderately active,Maintenance,Overweight
49,Female,179,73,Sedentary,Weight Loss,Overweight
47,Male,165,84,Moderately active,Muscle Gain,Overweight
31,Male,196,110,Lightly active,Weight Loss,Overweight
47,Female,187,95,Moderately active,Weight Loss,Overweight
46,Female,188,47,Very active,Muscle Gain,Underweight
36,Female,195,78,Very active,Weight Loss,Overweight
45,Male,181,94,Moderately active,Weight Loss,Overweight
18,Female,152,103,Moderately active,Weight Loss,Overweight
54,Female,152,95,Sedentary,Maintenance,Overweight
51,Female,184,76,Very active,Muscle Gain,Overweight
33,Male,153,81,Lightly active,Weight Loss,Overweight
48,Female,197,51,Lightly active,Maintenance,Overweight
40,Male,170,63,Very active,Weight Loss,Overweight
53,Male,178,104,Lightly active,Muscle Gain,Overweight
22,Male,169,55,Lightly active,Maintenance,Overweight
20,Female,172,56,Very active,Weight Loss,Underweight
55,Male,179,53,Lightly active,Weight Loss,Overweight
52,Female,171,68,Sedentary,Muscle Gain,Overweight
40,Female,181,58,Sedentary,Muscle Gain,Overweight
42,Male,188,117,Lightly active,Muscle Gain,Overweight
21,Male,175,102,Sedentary,Weight Loss,Overweight
40,Female,186,119,Lightly active,Muscle Gain,Overweight
38,Female,191,85,Lightly active,Muscle Gain,Overweight
54,Male,174,71,Sedentary,Maintenance,Overweight
44,Female,189,56,Sedentary,Weight Loss,Overweight
24,Male,159,89,Sedentary,Muscle Gain,Overweight
45,Male,195,108,Lightly active,Muscle Gain,Overweight
18,Male,185,70,Sedentary,Weight Loss,Overweight
57,Male,160,80,Sedentary,Maintenance,Overweight
57,Male,184,98,Lightly active,Maintenance,Overweight
41,Male,171,113,Very active,Weight Loss,Overweight
53,Female,196,64,Moderately active,Maintenance,Fit
34,Female,194,117,Lightly active,Muscle Gain,Overweight
26,Male,158,84,Sedentary,Weight Loss,Overweight
57,Male,191,69,Moderately active,Maintenance,Fit
54,Male,193,88,Moderately active,Muscle Gain,Overweight
51,Female,161,63,Sedentary,Maintenance,Overweight
34,Male,159,101,Moderately active,Weight Loss,Overweight
29,Male,165,52,Moderately active,Weight Loss,Underweight
40,Male,186,114,Very active,Weight Loss,Overweight
42,Female,161,59,Moderately active,Muscle Gain,Underweight
43,Male,196,76,Lightly active,Maintenance,Fit
40,Male,175,51,Lightly active,Maintenance,Overweight
24,Male,158,92,Very active,Muscle Gain,Overweight
40,Male,178,83,Moderately active,Muscle Gain,Overweight
59,Male,188,61,Lightly active,Maintenance,Fit
52,Female,193,104,Sedentary,Muscle Gain,Overweight
54,Male,192,84,Lightly active,Maintenance,Overweight
56,Male,164,48,Sedentary,Muscle Gain,Overweight
30,Male,167,77,Very active,Weight Loss,Overweight
19,Female,184,86,Lightly active,Muscle Gain,Overweight
30,Male,162,62,Very active,Maintenance,Overweight
56,Male,195,73,Lightly active,Weight Loss,Fit
33,Male,193,54,Lightly active,Weight Loss,Overweight
56,Male,169,49,Sedentary,Muscle Gain,Overweight
20,Male,194,58,Very active,Muscle Gain,Underweight
21,Female,167,106,Sedentary,Weight Loss,Overweight
18,Female,195,117,Moderately active,Weight Loss,Overweight
41,Male,153,56,Moderately active,Muscle Gain,Underweight
54,Male,192,114,Moderately active,Maintenance,Overweight
41,Female,160,106,Sedentary,Muscle Gain,Overweight
24,Male,153,103,Very active,Weight Loss,Overweight
27,Male,192,101,Lightly active,Weight Loss,Overweight
20,Male,155,49,Sedentary,Muscle Gain,Overweight
40,Male,198,53,Moderately active,Muscle Gain,Underweight
59,Male,184,94,Lightly active,Muscle Gain,Overweight
41,Male,152,76,Moderately active,Muscle Gain,Fit
42,Male,158,112,Lightly active,Weight Loss,Overweight
28,Female,190,100,Moderately active,Maintenance,Overweight
46,Female,158,111,Sedentary,Muscle Gain,Overweight
59,Female,158,84,Sedentary,Weight Loss,Overweight
51,Male,173,82,Very active,Maintenance,Overweight
43,Male,167,114,Sedentary,Weight Loss,Overweight
22,Female,162,84,Sedentary,Muscle Gain,Overweight
20,Male,189,84,Moderately active,Weight Loss,Overweight
50,Male,155,63,Very active,Weight Loss,Overweight
58,Male,162,89,Sedentary,Weight Loss,Overweight
53,Female,176,82,Very active,Maintenance,Overweight
48,Male,172,86,Lightly active,Maintenance,Overweight
47,Male,188,75,Lightly active,Muscle Gain,Fit
30,Female,178,56,Moderately active,Muscle Gain,Underweight
30,Female,195,71,Sedentary,Weight Loss,Overweight
57,Male,180,104,Very active,Weight Loss,Overweight
23,Male,168,74,Moderately active,Muscle Gain,Fit
49,Male,183,107,Very active,Maintenance,Overweight
54,Female,178,66,Very active,Muscle Gain,Overweight
44,Female,166,56,Lightly active,Weight Loss,Overweight
18,Female,171,94,Lightly active,Maintenance,Overweight
29,Male,185,96,Sedentary,Maintenance,Overweight
28,Male,182,50,Moderately active,Maintenance,Underweight
28,Female,172,70,Lightly active,Muscle Gain,Fit
46,Female,153,57,Sedentary,Maintenance,Overweight
46,Male,178,119,Very active,Muscle Gain,Overweight
31,Male,169,66,Moderately active,Maintenance,Fit
34,Male,193,100,Very active,Weight Loss,Overweight
33,Male,186,103,Very active,Muscle Gain,Overweight
22,Male,152,45,Lightly active,Muscle Gain,Overweight
51,Male,184,108,Sedentary,Weight Loss,Overweight
29,Female,167,59,Very active,Maintenance,Underweight
42,Female,166,97,Very active,Maintenance,Overweight
24,Male,152,108,Very active,Weight Loss,Overweight
20,Female,169,90,Moderately active,Weight Loss,Overweight
31,Female,156,61,Lightly active,Weight Loss,Fit
39,Female,151,116,Moderately active,Weight Loss,Overweight
25,Male,170,62,Lightly active,Muscle Gain,Fit
48,Female,187,76,Moderately active,Weight Loss,Fit
50,Male,187,85,Very active,Maintenance,Overweight
41,Female,190,61,Very active,Weight Loss,Overweight
49,Female,164,98,Lightly active,Weight Loss,Overweight
57,Female,181,46,Sedentary,Weight Loss,Overweight
30,Male,179,77,Sedentary,Muscle Gain,Overweight
56,Female,151,82,Moderately active,Muscle Gain,Overweight
32,Female,183,88,Sedentary,Maintenance,Overweight
20,Male,155,53,Lightly active,Weight Loss,Overweight
48,Male,181,85,Lightly active,Muscle Gain,Overweight
37,Female,196,51,Moderately active,Muscle Gain,Underweight
39,Female,175,47,Moderately active,Weight Loss,Underweight
59,Female,163,119,Lightly active,Muscle Gain,Overweight
40,Female,161,57,Sedentary,Weight Loss,Overweight
36,Male,195,89,Very active,Weight Loss,Overweight
49,Male,193,114,Lightly active,Maintenance,Overweight
54,Female,181,100,Sedentary,Maintenance,Overweight
45,Male,159,79,Sedentary,Weight Loss,Overweight
32,Female,182,51,Very active,Weight Loss,Underweight
38,Female,180,102,Sedentary,Weight Loss,Overweight
45,Female,193,64,Very active,Muscle Gain,Overweight
49,Male,190,80,Lightly active,Weight Loss,Fit
53,Female,151,78,Very active,Muscle Gain,Overweight
59,Male,161,47,Sedentary,Muscle Gain,Overweight
38,Female,164,70,Very active,Muscle Gain,Overweight
59,Male,193,58,Lightly active,Muscle Gain,Overweight
54,Male,154,82,Sedentary,Weight Loss,Overweight
31,Female,188,46,Moderately active,Muscle Gain,Underweight
42,Male,177,110,Moderately active,Weight Loss,Overweight
18,Male,189,100,Very active,Weight Loss,Overweight
48,Male,160,54,Moderately active,Muscle Gain,Underweight
33,Female,159,54,Very active,Muscle Gain,Underweight
18,Male,154,64,Very active,Maintenance,Overweight
18,Female,169,72,Sedentary,Maintenance,Overweight
54,Male,161,81,Sedentary,Weight Loss,Overweight
45,Female,196,50,Very active,Maintenance,Underweight
37,Male,199,46,Sedentary,Maintenance,Overweight
37,Male,175,73,Sedentary,Maintenance,Overweight
23,Male,186,103,Sedentary,Weight Loss,Overweight
31,Male,161,64,Sedentary,Muscle Gain,Overweight
51,Female,174,94,Sedentary,Weight Loss,Overweight
48,Male,196,87,Lightly active,Maintenance,Overweight
55,Female,169,67,Very active,Muscle Gain,Overweight
33,Male,199,52,Lightly active,Weight Loss,Overweight
25,Male,178,49,Moderately active,Muscle Gain,Underweight
51,Male,150,99,Moderately active,Muscle Gain,Overweight
27,Male,179,61,Lightly active,Maintenance,Fit
29,Female,176,116,Sedentary,Muscle Gain,Overweight
50,Female,150,63,Moderately active,Muscle Gain,Fit
22,Male,190,106,Very active,Muscle Gain,Overweight
23,Female,158,77,Sedentary,Weight Loss,Overweight
30,Female,158,75,Sedentary,Maintenance,Overweight
51,Female,187,48,Lightly active,Maintenance,Overweight
51,Female,167,57,Sedentary,Maintenance,Overweight
28,Male,150,98,Moderately active,Weight Loss,Overweight
32,Male,150,115,Moderately active,Weight Loss,Overweight
46,Male,174,77,Sedentary,Weight Loss,Overweight
55,Male,175,55,Moderately active,Muscle Gain,Underweight
27,Female,151,90,Sedentary,Maintenance,Overweight
43,Male,157,92,Lightly active,Muscle Gain,Overweight
46,Female,175,69,Very active,Weight Loss,Overweight
54,Female,164,88,Very active,Maintenance,Overweight
40,Male,155,90,Lightly active,Maintenance,Overweight
38,Male,172,91,Sedentary,Maintenance,Overweight
53,Male,160,95,Moderately active,Weight Loss,Overweight
39,Male,168,78,Lightly active,Weight Loss,Fit
44,Female,178,72,Moderately active,Muscle Gain,Fit
47,Female,167,46,Sedentary,Weight Loss,Overweight
43,Female,174,119,Moderately active,Maintenance,Overweight
27,Female,188,57,Moderately active,Maintenance,Underweight
59,Male,191,100,Very active,Muscle Gain,Overweight
18,Male,193,89,Lightly active,Maintenance,Overweight
30,Male,171,65,Lightly active,Weight Loss,Fit
26,Female,164,54,Very active,Muscle Gain,Underweight
59,Male,157,68,Very active,Weight Loss,Overweight
44,Female,186,112,Lightly active,Maintenance,Overweight
56,Female,159,62,Moderately active,Muscle Gain,Fit
22,Male,196,93,Moderately active,Muscle Gain,Overweight
38,Male,166,66,Very active,Weight Loss,Overweight
52,Male,177,115,Very active,Maintenance,Overweight
26,Female,163,101,Lightly active,Weight Loss,Overweight
52,Female,156,62,Moderately active,Muscle Gain,Fit
56,Female,190,119,Moderately active,Muscle Gain,Overweight
21,Male,175,86,Very active,Maintenance,Overweight
53,Male,189,80,Moderately active,Weight Loss,Fit
50,Female,155,85,Moderately active,Weight Loss,Overweight
19,Male,154,88,Moderately active,Weight Loss,Overweight
55,Female,157,94,Moderately active,Muscle Gain,Overweight
20,Female,171,114,Lightly active,Maintenance,Overweight
19,Female,187,79,Lightly active,Maintenance,Fit
25,Female,171,88,Lightly active,Weight Loss,Overweight
46,Male,180,91,Sedentary,Maintenance,Overweight
59,Female,179,99,Very active,Weight Loss,Overweight
29,Female,157,47,Very active,Muscle Gain,Underweight
40,Male,177,49,Very active,Weight Loss,Underweight
47,Male,170,114,Lightly active,Muscle Gain,Overweight
56,Female,181,77,Sedentary,Muscle Gain,Overweight
51,Female,163,80,Sedentary,Maintenance,Overweight
19,Female,190,46,Moderately active,Weight Loss,Underweight
18,Male,160,111,Very active,Muscle Gain,Overweight
43,Male,153,99,Lightly active,Maintenance,Overweight
32,Female,171,104,Sedentary,Muscle Gain,Overweight
59,Female,187,89,Moderately active,Muscle Gain,Overweight
59,Female,179,50,Moderately active,Maintenance,Underweight
31,Female,158,59,Sedentary,Maintenance,Overweight
44,Female,151,79,Lightly active,Muscle Gain,Fit
35,Female,159,69,Lightly active,Weight Loss,Fit
50,Male,185,58,Sedentary,Muscle Gain,Overweight
20,Female,184,85,Lightly active,Weight Loss,Overweight
51,Male,157,65,Lightly active,Weight Loss,Fit
21,Male,194,104,Very active,Weight Loss,Overweight
31,Male,169,62,Sedentary,Maintenance,Overweight
49,Female,178,87,Lightly active,Muscle Gain,Overweight
40,Female,168,75,Moderately active,Weight Loss,Fit
51,Male,159,46,Lightly active,Maintenance,Overweight
48,Female,164,117,Moderately active,Maintenance,Overweight
52,Male,170,117,Very active,Muscle Gain,Overweight
24,Female,165,60,Very active,Weight Loss,Overweight
21,Female,188,84,Sedentary,Weight Loss,Overweight
46,Male,185,82,Moderately active,Muscle Gain,Overweight
54,Male,184,51,Moderately active,Muscle Gain,Underweight
24,Female,186,49,Lightly active,Maintenance,Overweight
44,Female,170,65,Lightly active,Maintenance,Fit
56,Female,154,109,Sedentary,Weight Loss,Overweight
38,Female,167,89,Very active,Weight Loss,Overweight
28,Male,170,96,Very active,Maintenance,Overweight
43,Male,153,78,Very active,Muscle Gain,Overweight
52,Female,190,96,Sedentary,Muscle Gain,Overweight
38,Female,191,57,Sedentary,Weight Loss,Overweight
34,Female,158,85,Sedentary,Muscle Gain,Overweight
46,Female,182,54,Lightly active,Muscle Gain,Overweight
57,Female,170,72,Moderately active,Maintenance,Fit
25,Female,171,116,Sedentary,Maintenance,Overweight
40,Male,173,89,Moderately active,Weight Loss,Overweight
18,Female,172,52,Sedentary,Weight Loss,Overweight
18,Male,194,95,Very active,Maintenance,Overweight
34,Female,154,64,Sedentary,Muscle Gain,Overweight
53,Male,160,96,Moderately active,Maintenance,Overweight
45,Male,192,102,Sedentary,Weight Loss,Overweight
49,Female,157,108,Lightly active,Muscle Gain,Overweight
49,Male,197,52,Very active,Weight Loss,Underweight
19,Male,164,94,Moderately active,Weight Loss,Overweight
21,Female,163,85,Sedentary,Muscle Gain,Overweight
27,Male,170,80,Very active,Maintenance,Overweight
19,Female,162,97,Very active,Maintenance,Overweight
49,Female,181,55,Lightly active,Maintenance,Overweight
57,Male,167,99,Sedentary,Weight Loss,Overweight
31,Female,174,66,Very active,Muscle Gain,Overweight
38,Female,193,76,Moderately active,Muscle Gain,Fit
38,Male,184,76,Lightly active,Maintenance,Fit
29,Male,190,91,Lightly active,Weight Loss,Overweight
38,Male,157,90,Very active,Muscle Gain,Overweight
40,Male,193,119,Very active,Muscle Gain,Overweight
42,Female,171,73,Sedentary,Muscle Gain,Overweight
46,Female,170,96,Moderately active,Muscle Gain,Overweight
32,Male,172,88,Sedentary,Muscle Gain,Overweight
54,Male,182,100,Moderately active,Maintenance,Overweight
36,Female,172,73,Lightly active,Maintenance,Fit
42,Female,186,52,Lightly active,Muscle Gain,Overweight
25,Female,150,49,Moderately active,Weight Loss,Underweight
57,Female,184,108,Lightly active,Muscle Gain,Overweight
42,Male,159,65,Very active,Muscle Gain,Overweight
44,Male,176,110,Sedentary,Weight Loss,Overweight
53,Male,171,102,Lightly active,Weight Loss,Overweight
31,Female,183,97,Sedentary,Maintenance,Overweight
48,Female,155,100,Moderately active,Weight Loss,Overweight
21,Female,196,48,Very active,Muscle Gain,Underweight
52,Female,175,81,Lightly active,Weight Loss,Overweight
57,Female,188,65,Lightly active,Muscle Gain,Fit
21,Female,194,64,Sedentary,Maintenance,Overweight
21,Male,178,58,Moderately active,Weight Loss,Underweight
21,Female,173,78,Lightly active,Muscle Gain,Fit
48,Male,168,93,Moderately active,Muscle Gain,Overweight
39,Male,173,74,Lightly active,Muscle Gain,Fit
48,Male,185,108,Moderately active,Weight Loss,Overweight
47,Female,198,99,Sedentary,Muscle Gain,Overweight
45,Male,196,119,Sedentary,Muscle Gain,Overweight
50,Male,166,114,Very active,Maintenance,Overweight
32,Male,155,91,Lightly active,Maintenance,Overweight
26,Male,175,60,Sedentary,Weight Loss,Overweight
27,Female,199,47,Sedentary,Maintenance,Overweight
47,Male,194,114,Sedentary,Maintenance,Overweight
36,Male,191,79,Lightly active,Muscle Gain,Fit
22,Male,178,108,Sedentary,Weight Loss,Overweight
27,Male,154,114,Lightly active,Muscle Gain,Overweight
56,Male,199,79,Sedentary,Weight Loss,Overweight
23,Female,190,98,Lightly active,Weight Loss,Overweight
37,Male,173,80,Sedentary,Muscle Gain,Overweight
59,Female,179,51,Moderately active,Maintenance,Underweight
31,Female,159,60,Lightly active,Maintenance,Fit
42,Female,162,114,Very active,Weight Loss,Overweight
53,Male,192,101,Sedentary,Muscle Gain,Overweight
44,Male,156,114,Moderately active,Maintenance,Overweight
49,Female,160,64,Very active,Maintenance,Overweight
24,Female,170,86,Lightly active,Muscle Gain,Overweight
54,Male,170,113,Moderately active,Maintenance,Overweight
54,Female,173,93,Moderately active,Maintenance,Overweight
38,Male,161,105,Sedentary,Weight Loss,Overweight
21,Female,191,115,Lightly active,Maintenance,Overweight
34,Male,173,105,Sedentary,Muscle Gain,Overweight
58,Female,188,93,Sedentary,Muscle Gain,Overweight
23,Female,183,109,Lightly active,Weight Loss,Overweight
19,Male,171,101,Lightly active,Muscle Gain,Overweight
33,Female,197,95,Sedentary,Maintenance,Overweight
29,Female,173,84,Lightly active,Maintenance,Overweight
52,Female,198,108,Very active,Maintenance,Overweight
